DATE,TAVG,TMAX,TMIN
2007-08-15,64.0,77.0,52.0
2007-08-16,64.0,73.0,55.0
2007-08-17,67.0,82.0,55.0
2007-08-18,64.0,76.0,56.0
2007-08-19,67.0,81.0,55.0
2007-08-20,71.0,87.0,58.0
2007-08-21,71.0,93.0,54.0
2007-08-22,69.0,92.0,55.0
2007-08-23,65.0,85.0,53.0
2007-08-24,66.0,82.0,54.0
2007-08-25,65.0,78.0,57.0
2007-08-26,65.0,83.0,54.0
2007-08-27,67.0,90.0,54.0
2007-08-28,76.0,95.0,58.0
2007-08-29,80.0,99.0,65.0
2007-08-30,81.0,102.0,64.0
2007-08-31,77.0,93.0,63.0
2007-09-01,74.0,95.0,59.0
2007-09-02,74.0,96.0,58.0
2007-09-03,68.0,85.0,55.0
2007-09-04,64.0,73.0,55.0
2007-09-05,74.0,95.0,55.0
2007-09-06,70.0,88.0,54.0
2007-09-07,64.0,82.0,54.0
2007-09-08,64.0,80.0,54.0
2007-09-09,64.0,78.0,55.0
2007-09-10,65.0,79.0,54.0
2007-09-11,62.0,76.0,54.0
2007-09-12,60.0,66.0,56.0
2007-09-13,64.0,78.0,53.0
2007-09-14,65.0,76.0,57.0
2007-09-15,62.0,72.0,52.0
2007-09-16,62.0,74.0,56.0
2007-09-17,62.0,77.0,53.0
2007-09-18,60.0,74.0,50.0
2007-09-19,56.0,62.0,52.0
2007-09-20,57.0,74.0,45.0
2007-09-21,64.0,78.0,54.0
2007-09-22,58.0,68.0,53.0
2007-09-23,60.0,71.0,51.0
2007-09-24,65.0,82.0,52.0
2007-09-25,69.0,88.0,55.0
2007-09-26,73.0,93.0,58.0
2007-09-27,68.0,90.0,51.0
2007-09-28,57.0,63.0,50.0
2007-09-29,60.0,79.0,48.0
2007-09-30,60.0,77.0,46.0
2007-10-01,63.0,73.0,56.0
2007-10-02,67.0,87.0,53.0
2007-10-03,59.0,77.0,49.0
2007-10-04,56.0,64.0,50.0
2007-10-05,53.0,61.0,47.0
2007-10-06,59.0,77.0,43.0
2007-10-07,63.0,81.0,48.0
2007-10-08,61.0,84.0,47.0
2007-10-09,57.0,66.0,45.0
2007-10-10,57.0,68.0,49.0
2007-10-11,57.0,70.0,47.0
2007-10-12,54.0,59.0,51.0
2007-10-13,60.0,73.0,50.0
2007-10-14,57.0,74.0,48.0
2007-10-15,56.0,68.0,48.0
2007-10-16,55.0,62.0,50.0
2007-10-17,56.0,66.0,50.0
2007-10-18,60.0,73.0,49.0
2007-10-19,62.0,73.0,51.0
2007-10-20,55.0,64.0,50.0
2007-10-21,62.0,77.0,50.0
2007-10-22,68.0,84.0,57.0
2007-10-23,70.0,88.0,55.0
2007-10-24,71.0,88.0,58.0
2007-10-25,59.0,75.0,48.0
2007-10-26,53.0,69.0,44.0
2007-10-27,58.0,74.0,48.0
2007-10-28,62.0,81.0,50.0
2007-10-29,56.0,65.0,50.0
2007-10-30,55.0,66.0,47.0
2007-10-31,55.0,72.0,49.0
2007-11-01,59.0,78.0,50.0
2007-11-02,65.0,80.0,49.0
2007-11-03,69.0,83.0,59.0
2007-11-04,65.0,83.0,54.0
2007-11-05,57.0,72.0,45.0
2007-11-06,56.0,72.0,47.0
2007-11-07,54.0,70.0,46.0
2007-11-08,53.0,61.0,49.0
2007-11-09,55.0,65.0,47.0
2007-11-10,56.0,66.0,48.0
2007-11-11,55.0,68.0,46.0
2007-11-12,59.0,74.0,47.0
2007-11-13,62.0,77.0,53.0
2007-11-14,65.0,79.0,57.0
2007-11-15,60.0,77.0,52.0
2007-11-16,55.0,65.0,49.0
2007-11-17,56.0,68.0,48.0
2007-11-18,56.0,69.0,47.0
2007-11-19,53.0,63.0,45.0
2007-11-20,52.0,66.0,44.0
2007-11-21,53.0,67.0,43.0
2007-11-22,53.0,68.0,41.0
2007-11-23,57.0,72.0,46.0
2007-11-24,56.0,70.0,46.0
2007-11-25,52.0,61.0,46.0
2007-08-15,63.0,72.0,58.0
2007-08-16,61.0,68.0,54.0
2007-08-17,63.0,77.0,52.0
2007-08-18,61.0,69.0,54.0
2007-08-19,64.0,74.0,55.0
2007-08-20,68.0,78.0,59.0
2007-08-21,73.0,91.0,64.0
2007-08-22,73.0,92.0,59.0
2007-08-23,69.0,87.0,55.0
2007-08-24,67.0,86.0,52.0
2007-08-25,61.0,75.0,52.0
2007-08-26,62.0,82.0,51.0
2007-08-27,67.0,89.0,48.0
2007-08-28,80.0,96.0,65.0
2007-08-29,83.0,99.0,74.0
2007-08-30,82.0,97.0,70.0
2007-08-31,76.0,87.0,67.0
2007-09-01,77.0,92.0,66.0
2007-09-02,78.0,92.0,69.0
2007-09-03,69.0,80.0,59.0
2007-09-04,62.0,67.0,59.0
2007-09-05,77.0,89.0,62.0
2007-09-06,74.0,92.0,56.0
2007-09-07,59.0,69.0,53.0
2007-09-08,60.0,81.0,52.0
2007-09-09,58.0,69.0,52.0
2007-09-10,61.0,72.0,55.0
2007-09-11,58.0,68.0,52.0
2007-09-12,57.0,61.0,54.0
2007-09-13,62.0,71.0,53.0
2007-09-14,61.0,72.0,55.0
2007-09-15,58.0,66.0,53.0
2007-09-16,60.0,76.0,53.0
2007-09-17,64.0,78.0,52.0
2007-09-18,59.0,76.0,49.0
2007-09-19,53.0,58.0,49.0
2007-09-20,56.0,68.0,48.0
2007-09-21,63.0,73.0,55.0
2007-09-22,57.0,63.0,54.0
2007-09-23,60.0,72.0,54.0
2007-09-24,67.0,78.0,59.0
2007-09-25,71.0,81.0,61.0
2007-09-26,75.0,88.0,65.0
2007-09-27,69.0,87.0,50.0
2007-09-28,54.0,59.0,50.0
2007-09-29,61.0,77.0,52.0
2007-09-30,60.0,77.0,52.0
2007-10-01,62.0,72.0,54.0
2007-10-02,66.0,80.0,51.0
2007-10-03,58.0,70.0,51.0
2007-10-04,53.0,58.0,47.0
2007-10-05,52.0,58.0,45.0
2007-10-06,61.0,71.0,53.0
2007-10-07,65.0,79.0,55.0
2007-10-08,63.0,76.0,51.0
2007-10-09,53.0,58.0,46.0
2007-10-10,56.0,72.0,51.0
2007-10-11,57.0,66.0,51.0
2007-10-12,51.0,53.0,49.0
2007-10-13,60.0,71.0,52.0
2007-10-14,57.0,71.0,48.0
2007-10-15,53.0,60.0,49.0
2007-10-16,52.0,56.0,50.0
2007-10-17,54.0,64.0,50.0
2007-10-18,58.0,67.0,51.0
2007-10-19,57.0,62.0,52.0
2007-10-20,55.0,63.0,50.0
2007-10-21,63.0,74.0,52.0
2007-10-22,66.0,73.0,56.0
2007-10-23,70.0,78.0,59.0
2007-10-24,74.0,84.0,68.0
2007-10-25,62.0,73.0,47.0
2007-10-26,54.0,67.0,46.0
2007-10-27,57.0,70.0,48.0
2007-10-28,64.0,75.0,53.0
2007-10-29,55.0,64.0,49.0
2007-10-30,51.0,57.0,47.0
2007-10-31,53.0,68.0,46.0
2007-11-01,62.0,73.0,45.0
2007-11-02,67.0,75.0,62.0
2007-11-03,67.0,77.0,60.0
2007-11-04,67.0,73.0,60.0
2007-11-05,65.0,78.0,48.0
2007-11-06,55.0,71.0,44.0
2007-11-07,60.0,74.0,45.0
