DATE,TAVG,TMAX,TMIN
2007-08-15,83.0,96.0,71.0
2007-08-16,80.0,94.0,71.0
2007-08-17,80.0,94.0,69.0
2007-08-18,81.0,95.0,67.0
2007-08-19,82.0,94.0,70.0
2007-08-20,83.0,97.0,72.0
2007-08-21,83.0,96.0,71.0
2007-08-22,82.0,95.0,70.0
2007-08-23,82.0,94.0,67.0
2007-08-24,81.0,92.0,74.0
2007-08-25,81.0,94.0,74.0
2007-08-26,80.0,93.0,71.0
2007-08-27,82.0,96.0,71.0
2007-08-28,83.0,96.0,72.0
2007-08-29,82.0,95.0,71.0
2007-08-30,83.0,98.0,69.0
2007-08-31,79.0,94.0,73.0
2007-09-01,80.0,92.0,74.0
2007-09-02,78.0,94.0,71.0
2007-09-03,80.0,92.0,70.0
2007-09-04,82.0,93.0,72.0
2007-09-05,80.0,91.0,70.0
2007-09-06,80.0,91.0,70.0
2007-09-07,80.0,91.0,71.0
2007-09-08,78.0,89.0,67.0
2007-09-09,77.0,93.0,69.0
2007-09-10,76.0,92.0,68.0
2007-09-11,79.0,94.0,71.0
2007-09-12,80.0,97.0,69.0
2007-09-13,81.0,96.0,72.0
2007-09-14,81.0,95.0,69.0
2007-09-15,81.0,92.0,71.0
2007-09-16,82.0,95.0,71.0
2007-09-17,78.0,87.0,72.0
2007-09-18,76.0,85.0,71.0
2007-09-19,74.0,75.0,72.0
2007-09-20,78.0,88.0,72.0
2007-09-21,80.0,92.0,73.0
2007-09-22,79.0,89.0,72.0
2007-09-23,77.0,89.0,72.0
2007-09-24,80.0,90.0,71.0
2007-09-25,79.0,92.0,69.0
2007-09-26,77.0,89.0,69.0
2007-09-27,79.0,91.0,70.0
2007-09-28,78.0,93.0,68.0
2007-09-29,76.0,88.0,69.0
2007-09-30,76.0,85.0,66.0
2007-10-01,76.0,87.0,68.0
2007-10-02,77.0,83.0,74.0
2007-10-03,81.0,93.0,72.0
2007-10-04,81.0,90.0,75.0
2007-10-05,78.0,83.0,75.0
2007-10-06,80.0,88.0,76.0
2007-10-07,78.0,87.0,72.0
2007-10-08,78.0,89.0,69.0
2007-10-09,76.0,89.0,65.0
2007-10-10,76.0,90.0,63.0
2007-10-11,75.0,91.0,61.0
2007-10-12,69.0,86.0,55.0
2007-10-13,71.0,88.0,55.0
2007-10-14,70.0,84.0,56.0
2007-10-15,73.0,87.0,59.0
2007-10-16,74.0,86.0,65.0
2007-10-17,76.0,90.0,65.0
2007-10-18,78.0,92.0,70.0
2007-10-19,76.0,89.0,70.0
2007-10-20,74.0,86.0,67.0
2007-10-21,75.0,85.0,67.0
2007-10-22,79.0,91.0,72.0
2007-10-23,80.0,91.0,70.0
2007-10-24,72.0,80.0,66.0
2007-10-25,68.0,74.0,64.0
2007-10-26,70.0,75.0,66.0
2007-10-27,72.0,77.0,69.0
2007-10-28,73.0,84.0,69.0
2007-10-29,71.0,75.0,68.0
2007-10-30,75.0,81.0,70.0
2007-10-31,76.0,84.0,72.0
2007-11-01,75.0,82.0,72.0
2007-11-02,70.0,78.0,61.0
2007-11-03,62.0,77.0,50.0
2007-11-04,60.0,80.0,45.0
2007-11-05,58.0,78.0,40.0
2007-11-06,60.0,80.0,42.0
2007-11-07,58.0,71.0,48.0
2007-11-08,57.0,74.0,45.0
2007-11-09,56.0,73.0,41.0
2007-11-10,57.0,77.0,38.0
2007-11-11,61.0,76.0,46.0
2007-11-12,63.0,79.0,48.0
2007-11-13,62.0,81.0,49.0
2007-11-14,64.0,82.0,51.0
2007-11-15,63.0,82.0,49.0
2007-11-16,48.0,62.0,33.0
2007-11-17,52.0,75.0,32.0
2007-11-18,60.0,76.0,43.0
2007-11-19,64.0,78.0,50.0
2007-11-20,64.0,82.0,51.0
2007-11-21,64.0,81.0,46.0
2007-11-22,65.0,72.0,59.0
2007-11-23,63.0,71.0,52.0
2007-11-24,65.0,80.0,49.0
2007-11-25,70.0,84.0,64.0
2007-08-15,82.0,93.0,74.0
2007-08-16,82.0,91.0,76.0
2007-08-17,82.0,93.0,73.0
2007-08-18,82.0,90.0,73.0
2007-08-19,84.0,93.0,74.0
2007-08-20,85.0,91.0,78.0
2007-08-21,84.0,92.0,77.0
2007-08-22,83.0,93.0,76.0
2007-08-23,83.0,94.0,75.0
2007-08-24,83.0,95.0,74.0
2007-08-25,80.0,90.0,74.0
2007-08-26,83.0,93.0,75.0
2007-08-27,84.0,93.0,75.0
2007-08-28,83.0,93.0,75.0
2007-08-29,83.0,94.0,76.0
2007-08-30,83.0,93.0,75.0
2007-08-31,83.0,95.0,73.0
2007-09-01,82.0,95.0,71.0
2007-09-02,80.0,97.0,73.0
2007-09-03,81.0,97.0,73.0
2007-09-04,82.0,95.0,73.0
2007-09-05,81.0,92.0,75.0
2007-09-06,83.0,92.0,75.0
2007-09-07,83.0,91.0,75.0
2007-09-08,81.0,94.0,73.0
2007-09-09,76.0,88.0,69.0
2007-09-10,80.0,88.0,73.0
2007-09-11,83.0,93.0,74.0
2007-09-12,80.0,91.0,75.0
2007-09-13,82.0,92.0,74.0
2007-09-14,81.0,90.0,75.0
2007-09-15,81.0,91.0,75.0
2007-09-16,82.0,93.0,75.0
2007-09-17,81.0,93.0,74.0
2007-09-18,80.0,88.0,73.0
2007-09-19,80.0,94.0,72.0
2007-09-20,81.0,92.0,75.0
2007-09-21,81.0,92.0,74.0
2007-09-22,81.0,91.0,72.0
2007-09-23,80.0,91.0,74.0
2007-09-24,76.0,80.0,74.0
2007-09-25,76.0,87.0,71.0
2007-09-26,74.0,82.0,71.0
2007-09-27,80.0,91.0,71.0
2007-09-28,82.0,94.0,72.0
2007-09-29,80.0,87.0,76.0
2007-09-30,78.0,85.0,72.0
2007-10-01,74.0,77.0,72.0
2007-10-02,81.0,88.0,74.0
2007-10-03,83.0,90.0,77.0
2007-10-04,82.0,93.0,78.0
2007-10-05,82.0,89.0,78.0
2007-10-06,83.0,88.0,79.0
2007-10-07,81.0,88.0,77.0
2007-10-08,83.0,88.0,78.0
2007-10-09,82.0,88.0,77.0
2007-10-10,80.0,86.0,76.0
2007-10-11,81.0,89.0,75.0
2007-10-12,81.0,89.0,75.0
2007-10-13,80.0,85.0,76.0
2007-10-14,80.0,85.0,77.0
2007-10-15,80.0,85.0,77.0
2007-10-16,82.0,89.0,75.0
2007-10-17,80.0,89.0,76.0
2007-10-18,82.0,93.0,75.0
2007-10-19,83.0,92.0,77.0
2007-10-20,80.0,87.0,76.0
2007-10-21,82.0,89.0,77.0
2007-10-22,82.0,89.0,76.0
2007-10-23,81.0,88.0,75.0
2007-10-24,80.0,87.0,75.0
2007-10-25,75.0,79.0,70.0
2007-10-26,75.0,79.0,71.0
2007-10-27,80.0,87.0,74.0
2007-10-28,80.0,87.0,74.0
2007-10-29,79.0,86.0,74.0
2007-10-30,80.0,85.0,73.0
2007-10-31,78.0,83.0,76.0
2007-11-01,79.0,85.0,74.0
2007-11-02,78.0,84.0,73.0
2007-11-03,74.0,83.0,66.0
2007-11-04,71.0,80.0,64.0
2007-11-05,72.0,82.0,64.0
2007-11-06,73.0,83.0,64.0
2007-11-07,71.0,81.0,61.0
2007-11-08,68.0,78.0,59.0
2007-11-09,70.0,78.0,62.0
2007-11-10,69.0,80.0,61.0
2007-11-11,70.0,80.0,62.0
2007-11-12,73.0,79.0,66.0
2007-11-13,72.0,79.0,66.0
2007-11-14,72.0,81.0,66.0
2007-11-15,73.0,84.0,67.0
2007-11-16,63.0,70.0,56.0
2007-11-17,66.0,77.0,56.0
2007-11-18,70.0,80.0,63.0
2007-11-19,71.0,81.0,64.0
2007-11-20,72.0,81.0,65.0
2007-11-21,71.0,82.0,64.0
2007-11-22,72.0,83.0,65.0
2007-11-23,73.0,85.0,62.0
2007-11-24,73.0,79.0,68.0
2007-11-25,74.0,83.0,68.0
2007-08-15,84.0,99.0,74.0
2007-08-16,82.0,97.0,72.0
2007-08-17,82.0,98.0,69.0
2007-08-18,82.0,96.0,70.0
2007-08-19,81.0,96.0,70.0
2007-08-20,83.0,98.0,72.0
2007-08-21,82.0,97.0,70.0
2007-08-22,84.0,102.0,70.0
2007-08-23,83.0,98.0,73.0
2007-08-24,80.0,94.0,71.0
2007-08-25,80.0,98.0,71.0
2007-08-26,76.0,83.0,71.0
2007-08-27,79.0,89.0,73.0
2007-08-28,82.0,97.0,73.0
2007-08-29,80.0,99.0,71.0
2007-08-30,79.0,97.0,71.0
2007-08-31,80.0,96.0,71.0
2007-09-01,80.0,96.0,72.0
2007-09-02,80.0,94.0,74.0
2007-09-03,78.0,91.0,72.0
2007-09-04,79.0,94.0,69.0
2007-09-05,78.0,92.0,65.0
2007-09-06,81.0,93.0,72.0
2007-09-07,79.0,93.0,71.0
2007-09-08,78.0,94.0,66.0
2007-09-09,78.0,93.0,68.0
2007-09-10,78.0,93.0,67.0
2007-09-11,75.0,87.0,69.0
2007-09-12,80.0,94.0,72.0
2007-09-13,80.0,94.0,69.0
2007-09-14,76.0,84.0,71.0
2007-09-15,78.0,92.0,69.0
2007-09-16,77.0,92.0,64.0
2007-09-17,78.0,90.0,68.0
2007-09-18,75.0,90.0,63.0
2007-09-19,73.0,88.0,61.0
2007-09-20,74.0,81.0,69.0
2007-09-21,74.0,81.0,71.0
2007-09-22,78.0,87.0,71.0
2007-09-23,79.0,92.0,71.0
2007-09-24,78.0,92.0,69.0
2007-09-25,78.0,90.0,68.0
2007-09-26,78.0,91.0,69.0
2007-09-27,77.0,94.0,66.0
2007-09-28,77.0,92.0,67.0
2007-09-29,75.0,90.0,64.0
2007-09-30,73.0,88.0,58.0
2007-10-01,74.0,88.0,63.0
2007-10-02,75.0,88.0,65.0
2007-10-03,78.0,89.0,72.0
2007-10-04,77.0,89.0,72.0
2007-10-05,78.0,91.0,74.0
2007-10-06,77.0,86.0,72.0
2007-10-07,77.0,89.0,73.0
2007-10-08,76.0,90.0,68.0
2007-10-09,75.0,90.0,65.0
2007-10-10,76.0,89.0,67.0
2007-10-11,69.0,87.0,54.0
2007-10-12,61.0,81.0,44.0
2007-10-13,65.0,86.0,50.0
2007-10-14,71.0,89.0,57.0
2007-10-15,72.0,87.0,60.0
2007-10-16,72.0,80.0,67.0
2007-10-17,74.0,87.0,65.0
2007-10-18,74.0,82.0,66.0
2007-10-19,69.0,72.0,63.0
2007-10-20,65.0,82.0,53.0
2007-10-21,69.0,82.0,53.0
2007-10-22,75.0,85.0,72.0
2007-10-23,76.0,89.0,65.0
2007-10-24,61.0,71.0,52.0
2007-10-25,61.0,77.0,48.0
2007-10-26,66.0,81.0,53.0
2007-10-27,65.0,76.0,58.0
2007-10-28,65.0,79.0,56.0
2007-10-29,64.0,70.0,60.0
2007-10-30,66.0,77.0,56.0
2007-10-31,69.0,77.0,62.0
2007-11-01,69.0,85.0,60.0
2007-11-02,63.0,80.0,50.0
2007-11-03,59.0,80.0,44.0
2007-11-04,56.0,78.0,42.0
2007-11-05,55.0,80.0,38.0
2007-11-06,59.0,81.0,40.0
2007-11-07,46.0,64.0,31.0
2007-11-08,44.0,67.0,28.0
2007-11-09,48.0,73.0,29.0
2007-11-10,56.0,79.0,38.0
2007-11-11,53.0,75.0,36.0
2007-11-12,57.0,78.0,44.0
2007-11-13,59.0,81.0,45.0
2007-11-14,60.0,82.0,46.0
2007-11-15,56.0,69.0,35.0
2007-11-16,42.0,63.0,26.0
2007-11-17,45.0,71.0,25.0
2007-11-18,51.0,75.0,34.0
2007-11-19,59.0,80.0,45.0
2007-11-20,59.0,81.0,45.0
2007-11-21,64.0,80.0,50.0
2007-11-22,66.0,76.0,54.0
2007-11-23,49.0,62.0,40.0
2007-11-24,55.0,71.0,40.0
2007-11-25,59.0,67.0,53.0
2007-08-15,83.0,97.0,74.0
2007-08-16,81.0,93.0,72.0
2007-08-17,81.0,96.0,68.0
2007-08-18,81.0,95.0,70.0
2007-08-19,81.0,94.0,72.0
2007-08-20,83.0,97.0,72.0
2007-08-21,83.0,98.0,71.0
2007-08-22,84.0,99.0,71.0
2007-08-23,82.0,95.0,74.0
2007-08-24,78.0,92.0,72.0
2007-08-25,79.0,94.0,69.0
2007-08-26,78.0,86.0,72.0
2007-08-27,78.0,86.0,72.0
2007-08-28,80.0,91.0,72.0
2007-08-29,82.0,98.0,70.0
2007-08-30,80.0,93.0,71.0
2007-08-31,80.0,93.0,70.0
2007-09-01,79.0,89.0,71.0
2007-09-02,80.0,90.0,74.0
2007-09-03,78.0,87.0,73.0
2007-09-04,79.0,92.0,68.0
2007-09-05,79.0,92.0,66.0
2007-09-06,80.0,91.0,75.0
2007-09-07,80.0,91.0,72.0
2007-09-08,78.0,92.0,68.0
2007-09-09,77.0,93.0,68.0
2007-09-10,76.0,90.0,66.0
2007-09-11,76.0,88.0,69.0
2007-09-12,79.0,89.0,72.0
2007-09-13,77.0,87.0,70.0
2007-09-14,77.0,85.0,71.0
2007-09-15,78.0,90.0,68.0
2007-09-16,78.0,91.0,65.0
2007-09-17,79.0,89.0,71.0
2007-09-18,76.0,89.0,64.0
2007-09-19,74.0,87.0,62.0
2007-09-20,73.0,80.0,68.0
2007-09-21,75.0,83.0,71.0
2007-09-22,78.0,87.0,71.0
2007-09-23,79.0,91.0,71.0
2007-09-24,79.0,91.0,69.0
2007-09-25,79.0,90.0,69.0
2007-09-26,78.0,92.0,70.0
2007-09-27,77.0,93.0,67.0
2007-09-28,77.0,91.0,67.0
2007-09-29,77.0,89.0,65.0
2007-09-30,74.0,87.0,60.0
2007-10-01,75.0,87.0,65.0
2007-10-02,75.0,87.0,65.0
2007-10-03,78.0,88.0,72.0
2007-10-04,78.0,89.0,73.0
2007-10-05,78.0,89.0,73.0
2007-10-06,76.0,85.0,72.0
2007-10-07,78.0,89.0,73.0
2007-10-08,77.0,90.0,68.0
