DATE,TAVG,TMAX,TMIN
2007-08-15,85.0,95.0,79.0
2007-08-16,85.0,95.0,78.0
2007-08-17,84.0,92.0,78.0
2007-08-18,83.0,91.0,75.0
2007-08-19,83.0,93.0,74.0
2007-08-20,85.0,97.0,74.0
2007-08-21,86.0,100.0,77.0
2007-08-22,85.0,99.0,77.0
2007-08-23,82.0,91.0,74.0
2007-08-24,82.0,89.0,77.0
2007-08-25,80.0,89.0,76.0
2007-08-26,81.0,91.0,75.0
2007-08-27,80.0,95.0,74.0
2007-08-28,81.0,90.0,74.0
2007-08-29,84.0,97.0,76.0
2007-08-30,82.0,96.0,75.0
2007-08-31,76.0,80.0,74.0
2007-09-01,76.0,80.0,74.0
2007-09-02,76.0,80.0,74.0
2007-09-03,79.0,89.0,71.0
2007-09-04,78.0,91.0,68.0
2007-09-05,78.0,89.0,68.0
2007-09-06,79.0,88.0,73.0
2007-09-07,78.0,87.0,70.0
2007-09-08,77.0,89.0,67.0
2007-09-09,79.0,90.0,68.0
2007-09-10,81.0,95.0,72.0
2007-09-11,81.0,91.0,74.0
2007-09-12,79.0,93.0,72.0
2007-09-13,77.0,92.0,72.0
2007-09-14,80.0,91.0,73.0
2007-09-15,78.0,85.0,73.0
2007-09-16,74.0,80.0,67.0
2007-09-17,70.0,80.0,63.0
2007-09-18,70.0,81.0,61.0
2007-09-19,71.0,78.0,63.0
2007-09-20,73.0,78.0,70.0
2007-09-21,75.0,82.0,71.0
2007-09-22,77.0,84.0,72.0
2007-09-23,78.0,89.0,72.0
2007-09-24,78.0,88.0,71.0
2007-09-25,76.0,86.0,67.0
2007-09-26,77.0,86.0,72.0
2007-09-27,78.0,90.0,70.0
2007-09-28,79.0,91.0,71.0
2007-09-29,72.0,81.0,63.0
2007-09-30,71.0,81.0,61.0
2007-10-01,73.0,82.0,64.0
2007-10-02,74.0,80.0,69.0
2007-10-03,74.0,78.0,73.0
2007-10-04,75.0,76.0,73.0
2007-10-05,78.0,85.0,72.0
2007-10-06,76.0,84.0,72.0
2007-10-07,77.0,84.0,72.0
2007-10-08,77.0,86.0,71.0
2007-10-09,78.0,89.0,69.0
2007-10-10,78.0,88.0,68.0
2007-10-11,68.0,78.0,59.0
2007-10-12,63.0,77.0,50.0
2007-10-13,65.0,80.0,53.0
2007-10-14,68.0,81.0,57.0
2007-10-15,70.0,80.0,60.0
2007-10-16,73.0,83.0,65.0
2007-10-17,75.0,84.0,68.0
2007-10-18,78.0,91.0,70.0
2007-10-19,74.0,80.0,69.0
2007-10-20,70.0,80.0,61.0
2007-10-21,69.0,81.0,58.0
2007-10-22,74.0,81.0,70.0
2007-10-23,79.0,87.0,72.0
2007-10-24,69.0,78.0,64.0
2007-10-25,67.0,74.0,64.0
2007-10-26,63.0,65.0,62.0
2007-10-27,67.0,76.0,62.0
2007-10-28,62.0,65.0,58.0
2007-10-29,56.0,64.0,52.0
2007-10-30,62.0,73.0,49.0
2007-10-31,67.0,76.0,59.0
2007-11-01,69.0,80.0,62.0
2007-11-02,63.0,72.0,53.0
2007-11-03,57.0,69.0,48.0
2007-11-04,58.0,73.0,47.0
2007-11-05,60.0,76.0,49.0
2007-11-06,61.0,76.0,47.0
2007-11-07,49.0,60.0,40.0
2007-11-08,49.0,65.0,36.0
2007-11-09,53.0,68.0,39.0
2007-11-10,56.0,70.0,47.0
2007-11-11,52.0,65.0,42.0
2007-11-12,56.0,74.0,44.0
2007-11-13,60.0,74.0,48.0
2007-11-14,65.0,79.0,53.0
2007-11-15,59.0,67.0,45.0
2007-11-16,46.0,58.0,35.0
2007-11-17,51.0,67.0,37.0
2007-11-18,58.0,72.0,48.0
2007-11-19,61.0,77.0,52.0
2007-11-20,62.0,78.0,50.0
2007-11-21,65.0,78.0,53.0
2007-11-22,67.0,76.0,59.0
2007-11-23,52.0,61.0,44.0
2007-11-24,49.0,56.0,39.0
2007-11-25,56.0,60.0,51.0
2007-08-15,85.0,104.0,65.0
2007-08-16,84.0,102.0,72.0
2007-08-17,85.0,105.0,73.0
2007-08-18,84.0,99.0,71.0
2007-08-19,83.0,97.0,73.0
2007-08-20,84.0,98.0,70.0
2007-08-21,87.0,103.0,72.0
2007-08-22,89.0,104.0,73.0
2007-08-23,83.0,96.0,75.0
2007-08-24,80.0,95.0,71.0
