DATE,TAVG,TMAX,TMIN
2008-08-15,81.0,92.0,74.0
2008-08-16,79.0,92.0,70.0
2008-08-17,77.0,87.0,70.0
2008-08-18,78.0,87.0,72.0
2008-08-19,78.0,86.0,72.0
2008-08-20,78.0,85.0,74.0
2008-08-21,76.0,81.0,74.0
2008-08-22,78.0,82.0,75.0
2008-08-23,80.0,85.0,76.0
2008-08-24,79.0,86.0,75.0
2008-08-25,82.0,92.0,75.0
2008-08-26,82.0,89.0,77.0
2008-08-27,83.0,91.0,77.0
2008-08-28,83.0,95.0,75.0
2008-08-29,82.0,93.0,75.0
2008-08-30,81.0,89.0,75.0
2008-08-31,82.0,88.0,77.0
2008-09-01,81.0,86.0,77.0
2008-09-02,78.0,87.0,71.0
2008-09-03,77.0,87.0,69.0
2008-09-04,77.0,88.0,68.0
2008-09-05,76.0,81.0,71.0
2008-09-06,81.0,93.0,73.0
2008-09-07,82.0,95.0,73.0
2008-09-08,80.0,87.0,73.0
2008-09-09,81.0,88.0,74.0
2008-09-10,81.0,90.0,74.0
2008-09-11,78.0,88.0,75.0
2008-09-12,80.0,88.0,74.0
2008-09-13,81.0,90.0,74.0
2008-09-14,83.0,92.0,75.0
2008-09-15,84.0,93.0,75.0
2008-09-16,81.0,91.0,73.0
2008-09-17,73.0,77.0,71.0
2008-09-18,74.0,83.0,66.0
2008-09-19,72.0,81.0,62.0
2008-09-20,71.0,80.0,63.0
2008-09-21,71.0,78.0,65.0
2008-09-22,73.0,82.0,66.0
2008-09-23,70.0,81.0,60.0
2008-09-24,67.0,78.0,59.0
2008-09-25,65.0,72.0,59.0
2008-09-26,69.0,79.0,63.0
2008-09-27,73.0,85.0,63.0
2008-09-28,74.0,87.0,62.0
2008-09-29,75.0,89.0,65.0
2008-09-30,73.0,85.0,67.0
2008-10-01,73.0,84.0,62.0
2008-10-02,64.0,78.0,53.0
2008-10-03,68.0,84.0,55.0
2008-10-04,69.0,86.0,58.0
2008-10-05,70.0,82.0,59.0
2008-10-06,72.0,84.0,63.0
2008-10-07,71.0,79.0,63.0
2008-10-08,74.0,80.0,68.0
2008-10-09,72.0,84.0,66.0
2008-10-10,71.0,79.0,66.0
2008-10-11,71.0,77.0,69.0
2008-10-12,72.0,76.0,69.0
2008-10-13,72.0,81.0,66.0
2008-10-14,71.0,83.0,64.0
2008-10-15,71.0,88.0,59.0
2008-10-16,73.0,86.0,62.0
2008-10-17,73.0,83.0,62.0
2008-10-18,61.0,68.0,53.0
2008-10-19,56.0,68.0,48.0
2008-10-20,57.0,71.0,45.0
2008-10-21,60.0,74.0,49.0
2008-10-22,60.0,71.0,51.0
2008-10-23,60.0,66.0,53.0
2008-10-24,64.0,69.0,60.0
2008-10-25,64.0,72.0,57.0
2008-10-26,60.0,73.0,50.0
2008-10-27,57.0,69.0,46.0
2008-10-28,47.0,56.0,39.0
2008-10-29,49.0,62.0,37.0
2008-10-30,52.0,66.0,40.0
2008-10-31,53.0,68.0,40.0
2008-11-01,57.0,74.0,42.0
2008-11-02,60.0,71.0,49.0
2008-11-03,60.0,65.0,58.0
2008-11-04,60.0,63.0,59.0
2008-11-05,61.0,67.0,53.0
2008-11-06,62.0,78.0,52.0
2008-11-07,64.0,77.0,53.0
2008-11-08,61.0,71.0,53.0
2008-11-09,55.0,66.0,47.0
2008-11-10,54.0,70.0,44.0
2008-11-11,55.0,68.0,45.0
2008-11-12,60.0,72.0,47.0
2008-11-13,68.0,81.0,60.0
2008-11-14,71.0,76.0,66.0
2008-11-15,65.0,76.0,50.0
2008-11-16,49.0,57.0,42.0
2008-11-17,50.0,63.0,39.0
2008-11-18,43.0,50.0,33.0
2008-11-19,40.0,51.0,29.0
2008-11-20,49.0,64.0,38.0
2008-11-21,45.0,52.0,34.0
2008-11-22,38.0,52.0,29.0
2008-11-23,44.0,61.0,32.0
2008-11-24,51.0,65.0,36.0
2008-11-25,52.0,60.0,38.0
2008-08-15,76.0,90.0,64.0
2008-08-16,76.0,89.0,68.0
2008-08-17,76.0,87.0,69.0
2008-08-18,75.0,87.0,66.0
2008-08-19,76.0,90.0,64.0
2008-08-20,77.0,89.0,65.0
2008-08-21,76.0,82.0,71.0
2008-08-22,75.0,78.0,72.0
2008-08-23,75.0,78.0,73.0
2008-08-24,76.0,84.0,72.0
2008-08-25,75.0,81.0,72.0
2008-08-26,75.0,80.0,71.0
2008-08-27,75.0,83.0,69.0
2008-08-28,76.0,91.0,66.0
2008-08-29,76.0,89.0,66.0
2008-08-30,78.0,90.0,67.0
2008-08-31,76.0,86.0,70.0
2008-09-01,77.0,83.0,72.0
2008-09-02,77.0,88.0,69.0
2008-09-03,74.0,86.0,64.0
2008-09-04,74.0,89.0,61.0
2008-09-05,74.0,87.0,63.0
2008-09-06,75.0,90.0,62.0
2008-09-07,78.0,91.0,67.0
2008-09-08,77.0,92.0,67.0
2008-09-09,77.0,91.0,70.0
2008-09-10,78.0,90.0,72.0
2008-09-16,74.0,84.0,66.0
2008-09-17,66.0,68.0,64.0
2008-09-18,71.0,83.0,62.0
2008-09-19,69.0,83.0,59.0
2008-09-20,67.0,78.0,60.0
2008-09-21,65.0,72.0,58.0
2008-09-22,70.0,85.0,60.0
2008-09-23,69.0,84.0,59.0
2008-09-24,65.0,79.0,54.0
2008-09-25,64.0,80.0,47.0
2008-09-26,68.0,83.0,56.0
2008-09-27,69.0,83.0,57.0
2008-09-28,71.0,84.0,57.0
2008-09-29,74.0,89.0,61.0
2008-09-30,73.0,89.0,60.0
2008-10-01,65.0,81.0,50.0
2008-10-02,59.0,78.0,42.0
2008-10-03,63.0,83.0,47.0
2008-10-04,66.0,85.0,51.0
2008-10-05,66.0,84.0,51.0
2008-10-06,67.0,85.0,50.0
2008-10-07,70.0,83.0,53.0
2008-10-08,68.0,73.0,64.0
2008-10-09,68.0,75.0,64.0
2008-10-10,71.0,83.0,65.0
2008-10-11,68.0,74.0,65.0
2008-10-12,67.0,71.0,62.0
2008-10-13,69.0,81.0,61.0
2008-10-14,66.0,81.0,55.0
2008-10-15,65.0,85.0,50.0
2008-10-16,65.0,86.0,49.0
2008-10-17,63.0,73.0,58.0
2008-10-18,59.0,70.0,52.0
2008-10-19,53.0,66.0,42.0
2008-10-20,51.0,69.0,36.0
2008-10-21,54.0,75.0,36.0
2008-10-22,56.0,72.0,44.0
2008-10-23,56.0,67.0,49.0
2008-10-24,54.0,62.0,48.0
2008-10-25,58.0,71.0,46.0
2008-10-26,53.0,73.0,40.0
2008-10-27,48.0,60.0,36.0
2008-10-28,41.0,53.0,33.0
2008-10-29,44.0,62.0,31.0
2008-10-30,46.0,67.0,30.0
2008-10-31,46.0,70.0,29.0
2008-11-01,48.0,73.0,29.0
2008-11-02,50.0,73.0,32.0
2008-11-03,56.0,71.0,43.0
2008-11-04,60.0,72.0,49.0
2008-11-05,56.0,75.0,42.0
2008-11-06,56.0,77.0,41.0
2008-11-07,58.0,77.0,41.0
2008-11-08,55.0,70.0,44.0
2008-11-09,47.0,64.0,34.0
2008-11-10,44.0,67.0,29.0
2008-11-11,47.0,68.0,29.0
2008-11-12,54.0,65.0,43.0
2008-11-13,55.0,58.0,52.0
2008-11-14,66.0,74.0,57.0
2008-11-15,57.0,68.0,42.0
2008-11-16,42.0,56.0,34.0
2008-11-17,45.0,64.0,31.0
2008-11-18,38.0,47.0,26.0
2008-11-19,34.0,53.0,21.0
2008-11-20,44.0,69.0,27.0
2008-11-21,38.0,48.0,25.0
2008-11-22,31.0,50.0,16.0
2008-11-23,40.0,58.0,27.0
2008-11-24,48.0,58.0,38.0
2008-11-25,45.0,60.0,29.0
