DATE,TAVG,TMAX,TMIN
2007-08-15,82.0,94.0,68.0
2007-08-16,81.0,91.0,69.0
2007-08-17,72.0,77.0,70.0
2007-08-18,79.0,90.0,70.0
2007-08-19,83.0,98.0,72.0
2007-08-20,84.0,97.0,72.0
2007-08-21,79.0,89.0,71.0
2007-08-22,80.0,90.0,70.0
2007-08-23,80.0,92.0,69.0
2007-08-24,83.0,96.0,73.0
2007-08-25,81.0,92.0,72.0
2007-08-26,80.0,90.0,69.0
2007-08-27,80.0,92.0,69.0
2007-08-28,78.0,90.0,68.0
2007-08-29,79.0,92.0,67.0
2007-08-30,78.0,89.0,67.0
2007-08-31,77.0,89.0,65.0
2007-09-01,77.0,90.0,65.0
2007-09-02,76.0,89.0,64.0
2007-09-03,73.0,87.0,59.0
2007-09-04,72.0,85.0,65.0
2007-09-05,77.0,90.0,65.0
2007-09-06,82.0,97.0,73.0
2007-09-07,83.0,96.0,71.0
2007-09-08,80.0,93.0,69.0
2007-09-09,78.0,92.0,70.0
2007-09-10,74.0,89.0,67.0
2007-09-11,64.0,71.0,59.0
2007-09-12,69.0,78.0,62.0
2007-09-13,75.0,89.0,62.0
2007-09-14,77.0,89.0,65.0
2007-09-15,76.0,86.0,65.0
2007-09-16,75.0,87.0,63.0
2007-09-17,74.0,87.0,67.0
2007-09-18,78.0,90.0,66.0
2007-09-19,76.0,87.0,68.0
2007-09-20,75.0,86.0,67.0
2007-09-21,77.0,91.0,64.0
2007-09-22,78.0,91.0,66.0
2007-09-23,76.0,89.0,64.0
2007-09-24,76.0,89.0,66.0
2007-09-25,76.0,89.0,67.0
2007-09-26,75.0,88.0,61.0
2007-09-27,78.0,93.0,64.0
2007-09-28,76.0,87.0,66.0
2007-09-29,76.0,87.0,67.0
2007-09-30,77.0,89.0,67.0
2007-10-01,76.0,89.0,68.0
2007-10-02,79.0,94.0,68.0
2007-10-03,78.0,95.0,64.0
2007-10-04,80.0,94.0,69.0
2007-10-05,78.0,92.0,66.0
2007-10-06,76.0,90.0,63.0
2007-10-07,76.0,88.0,65.0
2007-10-08,73.0,86.0,59.0
2007-10-09,71.0,80.0,64.0
2007-10-10,72.0,85.0,59.0
2007-10-11,73.0,89.0,63.0
2007-10-12,74.0,88.0,62.0
2007-10-13,76.0,90.0,65.0
2007-10-14,72.0,87.0,58.0
2007-10-15,63.0,76.0,50.0
2007-10-16,67.0,83.0,54.0
2007-10-17,73.0,81.0,64.0
2007-10-18,66.0,80.0,50.0
2007-10-19,65.0,84.0,44.0
2007-10-20,73.0,94.0,50.0
2007-10-21,72.0,92.0,51.0
2007-10-22,49.0,62.0,35.0
