DATE,TAVG,TMAX,TMIN
2008-08-15,77.0,88.0,72.0
2008-08-16,77.0,90.0,71.0
2008-08-17,78.0,89.0,71.0
2008-08-18,76.0,87.0,72.0
2008-08-19,76.0,82.0,71.0
2008-08-20,76.0,78.0,74.0
2008-08-21,75.0,76.0,74.0
2008-08-22,77.0,82.0,74.0
2008-08-23,78.0,88.0,73.0
2008-08-24,78.0,91.0,71.0
2008-08-25,78.0,94.0,70.0
2008-08-26,81.0,93.0,70.0
2008-08-27,83.0,95.0,71.0
2008-08-28,81.0,96.0,71.0
2008-08-29,80.0,92.0,69.0
2008-08-30,79.0,85.0,73.0
2008-08-31,81.0,87.0,76.0
2008-09-01,83.0,91.0,76.0
2008-09-02,80.0,88.0,75.0
2008-09-03,80.0,89.0,74.0
2008-09-04,80.0,89.0,74.0
2008-09-05,79.0,84.0,76.0
2008-09-06,83.0,96.0,72.0
2008-09-07,80.0,94.0,69.0
2008-09-08,80.0,92.0,69.0
2008-09-09,82.0,91.0,75.0
2008-09-10,80.0,91.0,72.0
2008-09-11,81.0,90.0,77.0
2008-09-12,82.0,93.0,74.0
2008-09-13,81.0,94.0,71.0
2008-09-14,80.0,94.0,70.0
2008-09-15,79.0,94.0,70.0
2008-09-16,80.0,90.0,72.0
2008-09-17,78.0,91.0,71.0
2008-09-18,78.0,88.0,71.0
2008-09-19,77.0,87.0,67.0
2008-09-20,76.0,87.0,71.0
2008-09-21,80.0,91.0,72.0
2008-09-22,78.0,85.0,75.0
2008-09-23,79.0,86.0,74.0
2008-09-24,76.0,81.0,66.0
2008-09-25,71.0,85.0,62.0
2008-09-26,73.0,88.0,59.0
2008-09-27,72.0,90.0,53.0
2008-09-28,75.0,90.0,59.0
2008-09-29,78.0,87.0,71.0
2008-09-30,76.0,88.0,71.0
2008-10-01,76.0,90.0,61.0
2008-10-02,71.0,85.0,62.0
2008-10-03,71.0,85.0,58.0
2008-10-04,74.0,86.0,65.0
2008-10-05,75.0,83.0,66.0
2008-10-06,77.0,87.0,71.0
2008-10-07,77.0,88.0,68.0
2008-10-08,74.0,84.0,66.0
2008-10-09,75.0,89.0,70.0
2008-10-10,76.0,87.0,71.0
2008-10-11,77.0,86.0,70.0
2008-10-12,78.0,88.0,71.0
2008-10-13,78.0,87.0,71.0
2008-10-14,74.0,84.0,63.0
2008-10-15,72.0,85.0,62.0
2008-10-16,71.0,84.0,61.0
2008-10-17,71.0,88.0,57.0
2008-10-18,69.0,83.0,61.0
2008-10-19,65.0,77.0,54.0
2008-10-20,69.0,82.0,58.0
2008-10-21,67.0,81.0,54.0
2008-10-22,67.0,81.0,52.0
2008-10-23,73.0,82.0,68.0
2008-10-24,73.0,80.0,68.0
2008-10-25,71.0,76.0,59.0
2008-10-26,62.0,78.0,50.0
2008-10-27,63.0,80.0,45.0
2008-10-28,52.0,63.0,42.0
2008-10-29,49.0,66.0,33.0
2008-10-30,56.0,74.0,36.0
2008-10-31,63.0,75.0,53.0
2008-11-01,66.0,77.0,58.0
2008-11-02,66.0,74.0,60.0
2008-11-03,69.0,80.0,65.0
2008-11-04,65.0,67.0,62.0
2008-11-05,63.0,69.0,56.0
2008-11-06,64.0,79.0,51.0
2008-11-07,65.0,83.0,54.0
2008-11-08,65.0,80.0,50.0
2008-11-09,57.0,77.0,41.0
2008-11-10,57.0,75.0,41.0
2008-11-11,63.0,79.0,52.0
2008-11-12,70.0,80.0,59.0
2008-11-13,75.0,87.0,65.0
2008-11-14,75.0,87.0,65.0
2008-11-15,72.0,83.0,57.0
2008-11-16,51.0,63.0,42.0
2008-11-17,50.0,66.0,39.0
2008-11-18,51.0,65.0,40.0
2008-11-19,44.0,60.0,33.0
2008-11-20,49.0,71.0,29.0
2008-11-21,52.0,66.0,42.0
2008-11-22,49.0,63.0,35.0
2008-11-23,53.0,70.0,40.0
2008-11-24,56.0,73.0,40.0
2008-11-25,55.0,74.0,38.0
2008-08-15,83.0,95.0,75.0
2008-08-16,83.0,91.0,77.0
2008-08-17,82.0,91.0,76.0
2008-08-18,77.0,81.0,73.0
2008-08-19,81.0,87.0,77.0
2008-08-20,83.0,89.0,77.0
2008-08-21,83.0,88.0,79.0
2008-08-22,81.0,89.0,74.0
2008-08-23,82.0,90.0,78.0
2008-08-24,85.0,92.0,78.0
2008-08-25,82.0,89.0,78.0
2008-08-26,84.0,92.0,79.0
2008-08-27,85.0,92.0,79.0
2008-08-28,85.0,91.0,80.0
2008-08-29,85.0,89.0,80.0
2008-08-30,82.0,87.0,75.0
2008-08-31,83.0,88.0,77.0
2008-09-01,85.0,92.0,80.0
2008-09-02,84.0,90.0,78.0
2008-09-03,85.0,91.0,79.0
2008-09-04,83.0,88.0,76.0
