"STATION","NAME","DATE","DAEV","DAPR","EVAP","MDEV","MDPR","MNPN","MXPN","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-10-27",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-10-28",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-10-29",,,,,,,,"0.08","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-10-30",,,,,,,,"0.02","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-10-31",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-01",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-02",,,,,,,,"0.02","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-03",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-04",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-05",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-06",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-07",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-08",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-10",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-11",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-12",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-13",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-14",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-15",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-16",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-17",,,,,,,,"0.00","0.0",,,,,
"US1FLCY0006","ORANGE PARK 4.7 SW, FL US","2007-11-18",,,,,,,,"0.00","0.0",,,,,
