"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-15",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-16",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-17",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-18",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-19",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-20",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-21",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-22",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-23",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-24",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-25",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-26",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-27",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-28",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-29",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-30",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-08-31",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-01",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-02",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-03",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-04",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-05",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-06",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-07",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-08",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-09",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-10",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-11",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-12",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-13",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-14",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-15",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-16",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-17",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-18",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-19",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-20",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-21",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-22",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-23",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-24",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-25",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-26",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-27",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-28",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-29",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-09-30",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-01",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-02",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-03",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-04",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-05",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-06",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-07",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-08",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-09",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-10",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-11",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-12",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-13",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-14",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-15",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-16",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-17",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-18",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-19",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-20",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-21",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-22",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-23",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-24",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-25",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-26",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-27",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-28",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-29",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-30",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-10-31",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-01",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-02",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-03",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-04",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-05",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-06",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-07",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-08",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-09",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-10",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-11",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-12",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-13",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-14",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-15",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-16",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-17",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-18",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-19",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-20",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-21",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-22",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-23",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-24",,,
"US1GABR0002","RICHMOND HILL 0.5 NE, GA US","2008-11-25",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-08-15",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-08-17",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-08-18",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-08-19",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-08-20",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-08-21",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-08-22",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-08-23",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-08-24",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-08-25",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-08-26",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-08-27",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-08-28",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-08-29",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-08-30",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-08-31",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-01",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-02",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-03",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-04",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-05",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-06",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-07",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-08",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-09",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-10",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-11",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-12",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-13",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-14",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-19",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-20",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-22",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-26",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-27",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-28",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-29",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-09-30",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-01",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-07",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-08",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-09",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-10",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-11",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-12",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-13",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-14",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-15",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-16",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-17",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-18",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-19",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-20",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-21",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-22",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-23",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-24",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-25",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-26",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-27",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-29",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-30",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-10-31",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-11-01",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-11-02",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-11-03",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-11-04",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-11-05",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-11-06",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-11-08",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-11-09",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-11-10",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-11-11",,,
"US1GACT0016","ISLE OF HOPE 1.1 NE, GA US","2008-11-14",,,
