"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"US1INCK0011","JEFFERSONVILLE 1.9 N, IN US","2008-09-30",,,
"US1INCK0011","JEFFERSONVILLE 1.9 N, IN US","2008-10-08",,,
"US1INFD0007","NEW ALBANY 4.8 NNE, IN US","2008-09-12",,,
"US1INFD0007","NEW ALBANY 4.8 NNE, IN US","2008-09-30",,,
"US1INFD0007","NEW ALBANY 4.8 NNE, IN US","2008-10-08",,,
"US1INFD0007","NEW ALBANY 4.8 NNE, IN US","2008-10-16",,,
"US1INFD0007","NEW ALBANY 4.8 NNE, IN US","2008-11-13",,,
"US1INFD0007","NEW ALBANY 4.8 NNE, IN US","2008-11-15",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-15",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-16",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-17",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-18",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-19",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-20",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-21",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-22",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-23",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-24",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-25",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-26",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-27",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-28",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-29",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-30",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-08-31",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-09-01",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-09-02",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-09-03",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-09-04",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-09-05",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-09-06",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-09-07",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-09-08",,,
"USC00154955","LOUISVILLE MCALPINE, KY US","2008-09-09",,,
