"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-15",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-16",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-17",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-18",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-19",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-20",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-21",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-22",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-23",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-24",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-25",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-26",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-27",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-28",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-29",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-30",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-08-31",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-01",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-02",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-03",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-04",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-05",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-06",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-07",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-08",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-09",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-10",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-11",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-12",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-13",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-14",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-15",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-16",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-17",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-18",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-19",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-20",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-21",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-22",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-23",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-24",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-25",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-26",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-27",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-28",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-29",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-09-30",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-10-01",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-10-02",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-10-03",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-10-04",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-10-05",,,,
"US1OKCV0029","NORMAN 6.3 E, OK US","2007-10-06",,,,
