"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","EVAP","MNPN","MXPN","PRCP","TAVG","TMAX","TMIN","TOBS"
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-10-22",,,,"0.40",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-10-23",,,,"0.06",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-10-25",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-10-26",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-10-29",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-10-30",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-03",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-04",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-05",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-06",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-07",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-08",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-09",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-10",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-11",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-12",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-13",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-14",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-15",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-16",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-20",,,,,,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-21",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-22",,,,"0.00",,,,
"US1TXMDN010","MICO 6.4 WSW, TX US","29.5125","-99.001667","369.4","2007-11-23",,,,"0.00",,,,
