Tavg,Tmax,Death
83,96,0
80,94,0
80,94,0
81,95,0
82,94,0
83,97,0
83,96,0
82,95,0
82,94,0
81,92,0
81,94,0
80,93,0
82,96,0
83,96,0
82,95,0
83,98,0
79,94,0
80,92,0
78,94,0
80,92,0
82,93,0
80,91,0
80,91,0
80,91,0
78,89,0
77,93,0
76,92,0
79,94,0
80,97,0
81,96,0
81,95,0
81,92,0
82,95,0
78,87,0
76,85,0
74,75,0
78,88,0
80,92,0
79,89,0
77,89,0
80,90,0
79,92,0
77,89,0
79,91,0
78,93,0
76,88,0
76,85,0
76,87,0
77,83,0
81,93,0
81,90,0
78,83,0
80,88,0
78,87,0
78,89,0
76,89,0
76,90,0
75,91,0
69,86,0
71,88,0
70,84,0
73,87,0
74,86,0
76,90,0
78,92,0
76,89,0
74,86,0
75,85,0
79,91,0
80,91,0
72,80,0
68,74,0
70,75,0
72,77,0
73,84,0
71,75,0
75,81,0
76,84,0
75,82,0
70,78,0
62,77,0
60,80,0
58,78,0
60,80,0
58,71,0
57,74,0
56,73,0
57,77,0
61,76,0
63,79,0
62,81,0
64,82,0
63,82,0
48,62,0
82,94,0
81,91,0
72,77,0
79,90,0
83,98,0
84,97,0
79,89,0
80,90,0
80,92,0
83,96,0
81,92,0
80,90,0
80,92,0
78,90,0
79,92,0
78,89,0
77,89,0
77,90,0
76,89,0
73,87,0
72,85,0
77,90,0
82,97,0
83,96,0
80,93,0
78,92,0
74,89,0
64,71,0
69,78,0
75,89,0
77,89,0
76,86,0
75,87,0
74,87,0
78,90,0
76,87,0
75,86,0
77,91,0
78,91,0
76,89,0
76,89,0
76,89,0
75,88,0
78,93,0
76,87,0
76,87,0
77,89,0
76,89,0
79,94,0
78,95,0
80,94,0
78,92,0
76,90,0
76,88,0
73,86,0
71,80,0
72,85,0
73,89,0
74,88,0
76,90,0
72,87,0
63,76,0
67,83,0
73,81,0
66,80,0
65,84,0
73,94,0
72,92,0
49,62,0
54,74,0
61,79,0
59,78,0
63,82,0
61,76,0
58,73,0
60,77,0
62,81,0
61,76,0
51,66,0
61,82,0
58,73,0
64,81,0
69,89,0
50,58,0
55,74,0
64,86,0
64,85,0
88.4,90,1
85,95,0
85,95,0
84,92,0
83,91,0
83,93,0
85,97,0
86,100,0
85,99,0
82,91,0
82,89,0
80,89,0
81,91,0
80,95,0
81,90,0
84,97,0
82,96,0
76,80,0
76,80,0
76,80,0
79,89,0
78,91,0
78,89,0
79,88,0
78,87,0
77,89,0
79,90,0
81,95,0
81,91,0
79,93,0
77,92,0
80,91,0
78,85,0
74,80,0
70,80,0
70,81,0
71,78,0
73,78,0
75,82,0
77,84,0
78,89,0
78,88,0
76,86,0
77,86,0
78,90,0
79,91,0
72,81,0
71,81,0
73,82,0
74,80,0
74,78,0
75,76,0
78,85,0
76,84,0
77,84,0
77,86,0
78,89,0
78,88,0
68,78,0
63,77,0
65,80,0
68,81,0
70,80,0
73,83,0
75,84,0
78,91,0
74,80,0
70,80,0
69,81,0
74,81,0
79,87,0
69,78,0
67,74,0
63,65,0
67,76,0
62,65,0
56,64,0
62,73,0
67,76,0
69,80,0
63,72,0
57,69,0
58,73,0
60,76,0
61,76,0
49,60,0
49,65,0
53,68,0
56,70,0
52,65,0
56,74,0
60,74,0
65,79,0
59,67,0
46,58,0
51,67,0
58,72,0
61,77,0
62,78,0
65,78,0
67,76,0
52,61,0
49,56,0
56,60,0
85,104,0
84,102,0
85,105,0
84,99,0
83,97,0
84,98,0
87,103,0
89,104,0
83,96,0
80,95,0
78,97,0
77,95,0
76,88,0
76,89,0
77,92,0
79,91,0
76,86,0
73,80,0
74,83,0
76,90,0
77,93,0
78,93,0
77,89,0
77,89,0
75,89,0
75,93,0
76,92,0
78,92,0
76,84,0
75,85,0
74,82,0
73,88,0
69,80,0
69,82,0
67,81,0
66,81,0
70,80,0
73,79,0
76,87,0
76,86,0
77,91,0
74,88,0
80.2,84.2,1
72,85,0
71,87,0
67,83,0
63,82,0
65,82,0
70,83,0
72,76,0
64,77,0
64,73,0
67,82,0
64,76,0
67,81,0
71,87,0
71,93,0
69,92,0
65,85,0
66,82,0
65,78,0
65,83,0
67,90,0
76,95,0
80,99,0
81,102,0
77,93,0
74,95,0
74,96,0
68,85,0
64,73,0
74,95,0
70,88,0
64,82,0
64,80,0
64,78,0
65,79,0
62,76,0
60,66,0
64,78,0
65,76,0
62,72,0
62,74,0
62,77,0
60,74,0
56,62,0
57,74,0
64,78,0
58,68,0
60,71,0
65,82,0
69,88,0
73,93,0
68,90,0
57,63,0
60,79,0
60,77,0
63,73,0
67,87,0
59,77,0
56,64,0
53,61,0
59,77,0
63,81,0
61,84,0
57,66,0
57,68,0
57,70,0
54,59,0
60,73,0
57,74,0
56,68,0
55,62,0
56,66,0
60,73,0
62,73,0
55,64,0
62,77,0
68,84,0
70,88,0
88.6,91,1
59,75,0
53,69,0
58,74,0
62,81,0
56,65,0
55,66,0
55,72,0
59,78,0
65,80,0
69,83,0
65,83,0
57,72,0
56,72,0
54,70,0
53,61,0
55,65,0
56,66,0
55,68,0
59,74,0
62,77,0
65,79,0
60,77,0
55,65,0
56,68,0
56,69,0
53,63,0
52,66,0
53,67,0
53,68,0
57,72,0
56,70,0
52,61,0
63,72,0
61,68,0
63,77,0
61,69,0
64,74,0
68,78,0
73,91,0
73,92,0
69,87,0
67,86,0
61,75,0
62,82,0
67,89,0
80,96,0
83,99,0
82,97,0
76,87,0
77,92,0
78,92,0
69,80,0
62,67,0
77,89,0
74,92,0
59,69,0
60,81,0
58,69,0
61,72,0
58,68,0
57,61,0
62,71,0
61,72,0
58,66,0
60,76,0
64,78,0
59,76,0
53,58,0
56,68,0
63,73,0
57,63,0
60,72,0
67,78,0
71,81,0
75,88,0
69,87,0
54,59,0
61,77,0
60,77,0
62,72,0
66,80,0
58,70,0
53,58,0
52,58,0
61,71,0
65,79,0
63,76,0
53,58,0
56,72,0
57,66,0
51,53,0
60,71,0
57,71,0
53,60,0
52,56,0
54,64,0
58,67,0
57,62,0
55,63,0
63,74,0
66,73,0
70,78,0
74,84,0
62,73,0
54,67,0
57,70,0
64,75,0
55,64,0
51,57,0
53,68,0
62,73,0
67,75,0
67,77,0
67,73,0
65,78,0
55,71,0
60,74,0
80.7,86.9,1
54,62,0
53,55,0
57,63,0
60,67,0
62,72,0
64,74,0
60,72,0
54,61,0
56,65,0
55,61,0
53,57,0
53,62,0
53,63,0
56,66,0
61,70,0
57,64,0
52,57,0
83,92,0
82,93,0
81,93,0
77,90,0
76,89,0
79,89,0
79,91,0
73,84,0
71,79,0
76,88,0
76,87,0
74,82,0
74,85,0
80,93,0
88,101,0
87,101,0
88,98,0
89,102,0
88,101,0
88,100,0
78,89,0
71,80,0
65,75,0
70,81,0
73,85,0
70,79,0
74,86,0
77,88,0
77,88,0
71,83,0
