Tavg,Tmax
88.4,90.0
83.0,89.1
80.2,84.2
88.6,91.0
80.7,86.9
93.1,93.9
77.4,82.0
79.2,84.2
85.2,87.1
93.6,96.8
90.3,91.4
82.1,86.0
86.7,93.2
87.0,88.0
86.7,91.4
92.7,99.0
101.0,102.9
84.6,87.1
95.0,96.8
87.2,89.1
72.8,79.0
92.8,96.1
80.6,84.0
81.9,86.0
102.6,105.1
79.2,86.0
75.8,79.0
78.7,80.1
89.2,89.6
89.4,91.0
83.4,84.0
81.4,87.1
73.4,78.1
92.6,93.9
86.4,89.6
72.6,73.8
78.4,80.6
85.1,86.0
83.6,90.0
86.4,89.1
92.2,93.0
94.3,95.0
94.4,96.1
83.0,91.9
84.2,91.0
102.3,102.9
78.4,82.0
82.0,90.0
77.2,84.0
90.3,93.2
78.1,82.4
86.4,93.2
100.0,100.4
86.0,87.1
104.2,106.0
75.6,78.8
102.5,104.9
76.6,79.0
89.2,89.6
83.7,87.8
81.2,86.0
